Spojeni;Specifikace
PWS7:L/X1:L7;neni spec
PWS7:N/X1:N7;neni spec
PWS7:PE/X1:PE7;neni spec
PWS8:3/X22:C2;neni spec
PWS8:3/X23:C2;neni spec
PWS8:4/X22:D2;neni spec
PWS8:4/X23:D2;neni spec
PWS8:L/X1:L8;neni spec
PWS8:N/X1:N8;neni spec
PWS9:1/X14:1;1,5 mm2,black
PWS9:1/X1:L9;neni spec
PWS9:2/X1:N9;neni spec
PWS9:3/X1:PE9;neni spec
PWS9:4/X15:1;1,5 mm2,blue
RT:LAN/SW2:X1;neni spec
RT:PWR1/X31:4;neni spec
RT:PWR2/X32:4;neni spec
S:1/X:L1;1,5 mm2,black
S:3/X:L2;1,5 mm2,bown
S:5/X:L3;1,5 mm2,gray
SW1:PWR1/X31:2;neni spec
SW1:PWR2/X32:2;neni spec
SW2:PWR1/X31:3;neni spec
SW2:PWR2/X32:3;neni spec
TER1:1/X1:L10;neni spec
TH:L/X1:L8;neni spec
TH:N/X1:N8;neni spec
X1:N/X:N;neni spec
X1:N1/X:N;1,5 mm2,blue
X1:PE1/X:PE;neni spec
