SouË·stka;ZnaËenÌ;P¯ipojenÌ;Specifikace;Typ;Funkce;Symbol;Str·nka Ë.;».skupiny;ViditelnÈ;V˝pisy zapojenÌ;V˝pisy materi·lu;Mech. p¯ÌsluöenstvÌ;V˝KON;OT·ËKY;ViditelnÈ
 (0);;;;S15:2/X22:B1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S14:4/X21:C2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S13:2/X21:B1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S12:2/X20:B2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S11:2/X20:B1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S10:2/X19:B2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S9:2/X19:B1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S8:2/X18:B2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S7:2/X18:B1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S6:2/X17:B2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S5:2/X17:B1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S4:2/X16:B2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S3:2/X16:B1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S2:2/X15:B2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S1:2/X15:B1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X8:B1/PUC2:IN5;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X7:B2/PUC2:IN4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X7:B1/PUC2:IN3;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:PWR2/X6:D1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:PWR1/X6:C1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:PWR2/X5:D2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:PWR1/X5:C2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;0V-SRC-4/X5:D1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V-SRC-4/X5:C1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;0V-SRC-3/X4:D2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V-SRC-3/X4:C2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;0V-SRC-2/X4:D1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V-SRC-2/X4:C1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;0V-SRC-1/X3:D2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V-SRC-1/X3:C2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PS1:5/X13:C2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P12:2/X13:D2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X14:B1/PUC2:IN16;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X9:B1/PUC2:IN6;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X9:B2/PUC2:IN7;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X10:B1/PUC2:IN8;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X10:B2/PUC2:IN9;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X11:B1/PUC2:IN10;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X11:B2/PUC2:IN11;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X12:B1/PUC2:IN12;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X12:B2/PUC2:IN13;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X13:B1/PUC2:IN14;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X13:B2/PUC2:IN15;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P10:2/X7:D1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P9:2/X6:D2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PS1:1/X14:C2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P8:2/X8:D1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PS1:3/X14:D2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:12/X14:A2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:11/X14:A1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:10/X13:A2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:9/X13:A1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:8/X12:A2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:7/X12:A1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:6/X11:A2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:5/X11:A1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:4/X10:A2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:3/X10:A1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:2/X9:A2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:1/X9:A1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:12/X3:C1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:11/X8:A1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:10/X7:A2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:9/X7:A1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:8/X6:A2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:7/X6:A1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:6/X5:A2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:5/X5:A1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:4/X4:A2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:3/X4:A1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:2/X3:A2;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:1/X3:A1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X3:B1/P1:1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X3:B2/P2:1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X4:B1/P3:1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X4:B2/P4:1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X5:B1/P5:1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X5:B2/P6:1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X6:B1/P7:1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X6:B2/P8:1;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:OUT7/PUC3_RESET_DOOR_SEN;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:OUT6/PUC3_DOOR_LOCK;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:OUT5/PUC3_UR_RESET;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_TRIG/PUC3:IN20;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_PB_EN/PUC3:IN19;;sipka;7;0;Ano;Ano;Ano;;;;Ano
