Souèástka;Znaèení;Pøipojení;Specifikace;Typ;Funkce;Symbol;Stránka è.;È.skupiny;Viditelné;Výpisy zapojení;Výpisy materiálu;Mech. pøíslušenství;VýKON;OTáèKY;Viditelné
 (0);;;;X9:B2/PUC2:IN4;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X9:B1/PUC2:IN3;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X14:B1/PUC2:IN13;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P9:1/X3:C2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P10:1/X4:C1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X4:C2/S1:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;REL1:A2/X3:D1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;REL2:12/X3:D2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:PWR1/X5:C1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:PWR1/X5:C2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:PWR2/X5:D1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:PWR2/X5:D2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:VB2/VB2:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:VB1/VB1:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:RS422/TERM:2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;REL2:5/PUC2:REL1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;REL2:6/PUC2:REL2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;REL2:1/PUC2:IN1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;REL2:3/PUC2:IN2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X12:B2/PUC2:IN13;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X12:B1/PUC2:IN12;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X11:B2/PUC2:IN11;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X11:B1/PUC2:IN10;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X10:B2/PUC2:IN9;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X10:B1/PUC2:IN8;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X9:B2/PUC2:IN7;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X9:B1/PUC2:IN6;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X8:B2/PUC2:IN5;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X8:B1/PUC2:IN4;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X7:B2/PUC2:IN3;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:PWR1/X5:C1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:PWR2/X5:D1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P10:2/REL2:11;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P9:2/REL2:9;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;REL2:6/PUC2:REL2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;REL2:5/PUC2:REL1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;REL2:3/PUC2:IN2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;REL2:1/PUC2:IN1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X4:C2/S1:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;REL1:A2/X3:D1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
